光学全部参数{"name":"ITO","color":"#5d0eef","thick":"50","type":"1"}
{"name":"NiOx","color":"#25b41a","thick":"20","type":"5"}
{"name":"MAPbI3","color":"#ddd935","thick":"500","type":"3"}
{"name":"C60","color":"#b0e856","thick":"50","type":"4"}
{"name":"Ag","color":"#c49587","thick":"120","type":"2"}-+-+-+=+-+-+-300
900
10
0
-1
-1-+-+-+=+-+-+-300,2.40022,0.26086
310,2.3872,0.22963
320,2.37352,0.20111
330,2.35933,0.17511
340,2.34478,0.15146
350,2.32999,0.13
360,2.31505,0.1106
370,2.30006,0.09312
380,2.2851,0.07746
390,2.27024,0.0635
400,2.25555,0.05115
410,2.24108,0.04033
420,2.2269,0.03095
430,2.21306,0.02294
440,2.19963,0.01624
450,2.18667,0.01079
460,2.17424,0.00652
470,2.16243,0.0034
480,2.15135,0.00135
490,2.14114,0.000349
500,2.1322,0.00023
510,2.1245,0.000244
520,2.11763,0.00026
530,2.11139,0.000276
540,2.10568,0.000293
550,2.10042,0.00031
560,2.09556,0.000328
570,2.09104,0.000346
580,2.08682,0.000365
590,2.08288,0.000385
600,2.07918,0.000406
610,2.07571,0.000427
620,2.07243,0.000449
630,2.06934,0.000472
640,2.06641,0.000495
650,2.06364,0.000519
660,2.061,0.000544
670,2.0585,0.00057
680,2.05611,0.000596
690,2.05384,0.000623
700,2.05166,0.000651
710,2.04959,0.00068
720,2.0476,0.00071
730,2.04569,0.00074
740,2.04386,0.000771
750,2.0421,0.000804
760,2.04041,0.000837
770,2.03878,0.00087
780,2.03722,0.000905
790,2.0357,0.000941
800,2.03424,0.000978
810,2.03283,0.00102
820,2.03146,0.00105
830,2.03013,0.00109
840,2.02885,0.00113
850,2.02761,0.00117
860,2.0264,0.00122
870,2.02522,0.00126
880,2.02408,0.0013
890,2.02297,0.00135
900,2.02189,0.0014
300,1.77228,0.13524
310,1.76832,0.11825
320,1.76352,0.10257
330,1.758,0.08817
340,1.75189,0.07501
350,1.7453,0.06305
360,1.73832,0.05225
370,1.73106,0.04258
380,1.72358,0.03399
390,1.71598,0.02645
400,1.70833,0.01993
410,1.70071,0.01438
420,1.69318,0.00979
430,1.68583,0.00612
440,1.67874,0.00333
450,1.67199,0.0014
460,1.66573,0.000304
470,1.66017,0
480,1.6556,0
490,1.65165,0
500,1.64814,0
510,1.64498,0
520,1.64212,0
530,1.63951,0
540,1.63712,0
550,1.63491,0
560,1.63287,0
570,1.63098,0
580,1.62922,0
590,1.62757,0
600,1.62604,0
610,1.6246,0
620,1.62325,0
630,1.62197,0
640,1.62078,0
650,1.61965,0
660,1.61858,0
670,1.61757,0
680,1.61661,0
690,1.6157,0
700,1.61484,0
710,1.61402,0
720,1.61324,0
730,1.6125,0
740,1.61179,0
750,1.61111,0
760,1.61047,0
770,1.60985,0
780,1.60926,0
790,1.6087,0
800,1.60816,0
810,1.60764,0
820,1.60714,0
830,1.60666,0
840,1.60621,0
850,1.60576,0
860,1.60534,0
870,1.60493,0
880,1.60454,0
890,1.60416,0
900,1.6038,0
300,1.661532,0.885135
310,1.651378,0.959941
320,1.672692,1.05832
330,1.736326,1.163681
340,1.845006,1.255304
350,1.990948,1.311355
360,2.154105,1.315045
370,2.306,1.263589
380,2.421862,1.172266
390,2.49233,1.066329
400,2.523713,0.967629
410,2.529598,0.887881
420,2.523383,0.829883
430,2.515261,0.791227
440,2.511962,0.767095
450,2.517256,0.751741
460,2.532344,0.739289
470,2.556109,0.724421
480,2.585506,0.703134
490,2.616307,0.673414
500,2.644186,0.635476
510,2.665774,0.591385
520,2.679287,0.544189
530,2.684535,0.496972
540,2.68249,0.452199
550,2.674716,0.411466
560,2.662902,0.375559
570,2.648578,0.344656
580,2.633,0.318547
590,2.617129,0.296811
600,2.601674,0.27894
610,2.587142,0.264406
620,2.573891,0.252708
630,2.562174,0.243377
640,2.552175,0.235986
650,2.544034,0.230141
660,2.53787,0.225469
670,2.533793,0.221601
680,2.531915,0.218157
690,2.532354,0.214712
700,2.535231,0.210766
710,2.540653,0.205684
720,2.548669,0.198629
730,2.559156,0.188456
740,2.571588,0.173607
750,2.584547,0.152077
760,2.594842,0.121788
770,2.596419,0.082212
780,2.580882,0.038426
790,2.544738,0.005723
800,2.507665,0
810,2.485086,0
820,2.467781,0
830,2.453464,0
840,2.44116,0
850,2.430337,0
860,2.420662,0
870,2.411911,0
880,2.403923,0
890,2.39658,0
900,2.38979,0
300,2.34952,0.81022
310,2.25114,0.6703
320,2.12291,0.6312
330,2.02928,0.73604
340,2.13744,0.88188
350,2.31928,0.87397
360,2.49653,0.76218
370,2.55113,0.53793
380,2.47278,0.37821
390,2.37229,0.31152
400,2.29892,0.29422
410,2.2472,0.29731
420,2.21514,0.3137
430,2.20416,0.33634
440,2.21365,0.35556
450,2.23813,0.36273
460,2.26709,0.35296
470,2.29066,0.33142
480,2.30728,0.30506
490,2.31933,0.27863
500,2.33336,0.25124
510,2.34796,0.21307
520,2.34821,0.16284
530,2.32779,0.11662
540,2.29708,0.08671
550,2.26816,0.07002
560,2.24382,0.0603
570,2.22288,0.05457
580,2.20516,0.0523
590,2.1916,0.05275
600,2.1829,0.05366
610,2.17803,0.05262
620,2.17437,0.04833
630,2.16972,0.04201
640,2.16353,0.03515
650,2.15619,0.0289
660,2.14838,0.02355
670,2.14041,0.01906
680,2.13247,0.0154
690,2.12474,0.01252
700,2.11731,0.01034
710,2.11028,0.00878
720,2.10371,0.00777
730,2.0977,0.0072
740,2.09226,0.00692
750,2.08738,0.00679
760,2.08299,0.00669
770,2.07898,0.00654
780,2.07522,0.00633
790,2.07166,0.00611
800,2.06826,0.0059
810,2.06503,0.00573
820,2.06196,0.00561
830,2.05906,0.00553
840,2.05634,0.00549
850,2.05377,0.00545
860,2.05136,0.00542
870,2.04908,0.00537
880,2.04691,0.00531
890,2.04484,0.00523
900,2.04284,0.00515
300,1.6191,0.5912
310,1.3892,0.2313
320,0.8904,0.1744
330,0.472,0.3135
340,0.212,0.6634
350,0.1419,0.9427
360,0.1105,1.1545
370,0.0919,1.3309
380,0.0793,1.486
390,0.0703,1.6267
400,0.0637,1.7571
410,0.0587,1.8796
420,0.0549,1.9961
430,0.052,2.1076
440,0.0499,2.215
450,0.0483,2.3191
460,0.0472,2.4203
470,0.0465,2.5189
480,0.0462,2.6155
490,0.046,2.7101
500,0.0461,2.8031
510,0.0464,2.8945
520,0.0469,2.9847
530,0.0475,3.0736
540,0.0482,3.1615
550,0.049,3.2484
560,0.05,3.3344
570,0.051,3.4196
580,0.0521,3.5041
590,0.0532,3.5879
600,0.0544,3.6711
610,0.0557,3.7536
620,0.057,3.8357
630,0.0584,3.9172
640,0.0598,3.9983
650,0.0613,4.0789
660,0.0628,4.1592
670,0.0644,4.239
680,0.0659,4.3185
690,0.0676,4.3977
700,0.0692,4.4765
710,0.0709,4.5551
720,0.0726,4.6333
730,0.0744,4.7113
740,0.0762,4.7891
750,0.078,4.8666
760,0.0798,4.9439
770,0.0817,5.021
780,0.0836,5.0979
790,0.0856,5.1746
800,0.0875,5.2511
810,0.0895,5.3274
820,0.0916,5.4036
830,0.0936,5.4796
840,0.0957,5.5554
850,0.0978,5.6311
860,0.0999,5.7067
870,0.1021,5.7821
880,0.1043,5.8575
890,0.1065,5.9326
900,0.1087,6.0077-+-+-+=+-+-+-
