directed_edge_id,from_id,to_id,distance,distance_m,slope_type,factor,time_min,cost,source_edge_id
DE095,38,44,128,85.906,slight_up,1.20,0.206,0.247,E048
DE096,44,38,128,85.906,slight_down,0.85,0.206,0.175,E048
DE097,44,45,80,53.691,flat,1.00,0.129,0.129,E049
DE098,45,44,80,53.691,flat,1.00,0.129,0.129,E049
DE099,46,38,76,51.007,slight_up,1.20,0.122,0.147,E050
DE100,38,46,76,51.007,slight_down,0.85,0.122,0.104,E050
DE101,42,46,228,153.02,slight_up,1.20,0.367,0.441,E051
DE102,46,42,228,153.02,slight_down,0.85,0.367,0.312,E051
DE103,15,46,50,33.557,flat,1.00,0.081,0.081,E052
DE104,46,15,50,33.557,flat,1.00,0.081,0.081,E052
DE105,47,42,138,92.617,slight_up,1.20,0.222,0.267,E053
DE106,42,47,138,92.617,slight_down,0.85,0.222,0.189,E053
DE107,42,48,234,157.047,flat,1.00,0.377,0.377,E054
DE108,48,42,234,157.047,flat,1.00,0.377,0.377,E054
DE109,43,47,240,161.074,slight_up,1.20,0.387,0.464,E055
DE110,47,43,240,161.074,slight_down,0.85,0.387,0.329,E055
DE111,47,49,234,157.047,flat,1.00,0.377,0.377,E056
DE112,49,47,234,157.047,flat,1.00,0.377,0.377,E056
DE113,14,50,155,104.027,slight_up,1.20,0.25,0.3,E057
DE114,50,14,155,104.027,slight_down,0.85,0.25,0.212,E057
DE115,15,45,131,87.919,slight_up,1.20,0.211,0.253,E058
DE116,45,15,131,87.919,slight_down,0.85,0.211,0.179,E058
DE117,45,51,104,69.799,slight_up,1.20,0.168,0.201,E059
DE118,51,45,104,69.799,slight_down,0.85,0.168,0.142,E059
DE119,52,15,55,36.913,slight_up,1.20,0.089,0.106,E060
DE120,15,52,55,36.913,slight_down,0.85,0.089,0.075,E060
DE121,52,53,154,103.356,flat,1.00,0.248,0.248,E061
DE122,53,52,154,103.356,flat,1.00,0.248,0.248,E061
DE123,41,16,50,33.557,steep_up,1.50,0.081,0.121,E062
DE124,16,41,50,33.557,steep_down,0.75,0.081,0.06,E062
DE125,50,41,200,134.228,steep_up,1.50,0.322,0.483,E063
DE126,41,50,200,134.228,steep_down,0.75,0.322,0.242,E063
DE127,51,50,204,136.913,slight_up,1.20,0.329,0.394,E064
DE128,50,51,204,136.913,slight_down,0.85,0.329,0.279,E064
DE129,51,54,50,33.557,slight_up,1.20,0.081,0.097,E065
DE130,54,51,50,33.557,slight_down,0.85,0.081,0.068,E065
DE131,17,16,50,33.557,slight_up,1.20,0.081,0.097,E066
DE132,16,17,50,33.557,slight_down,0.85,0.081,0.068,E066
DE133,53,54,330,221.477,slight_up,1.20,0.532,0.638,E067
DE134,54,53,330,221.477,slight_down,0.85,0.532,0.452,E067
DE135,54,55,64,42.953,slight_up,1.20,0.103,0.124,E068
DE136,55,54,64,42.953,slight_down,0.85,0.103,0.088,E068
DE137,48,53,102,68.456,slight_up,1.20,0.164,0.197,E069
DE138,53,48,102,68.456,slight_down,0.85,0.164,0.14,E069
DE139,53,56,424,284.564,flat,1.00,0.683,0.683,E070
DE140,56,53,424,284.564,flat,1.00,0.683,0.683,E070
DE141,49,48,138,92.617,slight_up,1.20,0.222,0.267,E071
DE142,48,49,138,92.617,slight_down,0.85,0.222,0.189,E071
DE143,18,48,393,263.758,flat,1.00,0.633,0.633,E072
DE144,48,18,393,263.758,flat,1.00,0.633,0.633,E072
DE145,49,57,426,285.906,flat,1.00,0.686,0.686,E073
DE146,57,49,426,285.906,flat,1.00,0.686,0.686,E073
DE147,55,17,362,242.953,steep_up,1.50,0.583,0.875,E074
DE148,17,55,362,242.953,steep_down,0.75,0.583,0.437,E074
DE149,55,58,360,241.611,steep_up,1.50,0.58,0.87,E075
DE150,58,55,360,241.611,steep_down,0.75,0.58,0.435,E075
DE151,59,17,449,301.342,slight_up,1.20,0.723,0.868,E076
DE152,17,59,449,301.342,slight_down,0.85,0.723,0.615,E076
DE153,56,58,330,221.477,steep_up,1.50,0.532,0.797,E077
DE154,58,56,330,221.477,steep_down,0.75,0.532,0.399,E077
DE155,19,58,88,59.06,slight_up,1.20,0.142,0.17,E078
DE156,58,19,88,59.06,slight_down,0.85,0.142,0.12,E078
DE157,18,56,51,34.228,slight_up,1.20,0.082,0.099,E079
DE158,56,18,51,34.228,slight_down,0.85,0.082,0.07,E079
DE159,19,59,391,262.416,slight_up,1.20,0.63,0.756,E080
DE160,59,19,391,262.416,slight_down,0.85,0.63,0.535,E080
DE161,25,5,191,128.188,flat,1.00,0.308,0.308,E081
DE162,5,25,191,128.188,flat,1.00,0.308,0.308,E081
