directed_edge_id,from_id,to_id,distance,slope_type,base_cost,weather,cargo,weather_factor,cargo_factor,context_cost,source_edge_id
DE089,13,43,35,flat,0.056,sunny,small,1,1,0.056,E045
DE090,43,13,35,flat,0.056,sunny,small,1,1,0.056,E045
DE091,36,14,43,slight_up,0.083,sunny,small,1,1,0.083,E046
DE092,14,36,43,slight_down,0.059,sunny,small,1,1,0.059,E046
DE093,44,36,110,slight_up,0.213,sunny,small,1,1,0.213,E047
DE094,36,44,110,slight_down,0.151,sunny,small,1,1,0.151,E047
DE095,38,44,128,slight_up,0.247,sunny,small,1,1,0.247,E048
DE096,44,38,128,slight_down,0.175,sunny,small,1,1,0.175,E048
DE097,44,45,80,flat,0.129,sunny,small,1,1,0.129,E049
DE098,45,44,80,flat,0.129,sunny,small,1,1,0.129,E049
DE099,46,38,76,slight_up,0.147,sunny,small,1,1,0.147,E050
DE100,38,46,76,slight_down,0.104,sunny,small,1,1,0.104,E050
DE101,42,46,228,slight_up,0.441,sunny,small,1,1,0.441,E051
DE102,46,42,228,slight_down,0.312,sunny,small,1,1,0.312,E051
DE103,15,46,50,flat,0.081,sunny,small,1,1,0.081,E052
DE104,46,15,50,flat,0.081,sunny,small,1,1,0.081,E052
DE105,47,42,138,slight_up,0.267,sunny,small,1,1,0.267,E053
DE106,42,47,138,slight_down,0.189,sunny,small,1,1,0.189,E053
DE107,42,48,234,flat,0.377,sunny,small,1,1,0.377,E054
DE108,48,42,234,flat,0.377,sunny,small,1,1,0.377,E054
DE109,43,47,240,slight_up,0.464,sunny,small,1,1,0.464,E055
DE110,47,43,240,slight_down,0.329,sunny,small,1,1,0.329,E055
DE111,47,49,234,flat,0.377,sunny,small,1,1,0.377,E056
DE112,49,47,234,flat,0.377,sunny,small,1,1,0.377,E056
DE113,14,50,155,slight_up,0.3,sunny,small,1,1,0.3,E057
DE114,50,14,155,slight_down,0.212,sunny,small,1,1,0.212,E057
DE115,15,45,131,slight_up,0.253,sunny,small,1,1,0.253,E058
DE116,45,15,131,slight_down,0.179,sunny,small,1,1,0.179,E058
DE117,45,51,104,slight_up,0.201,sunny,small,1,1,0.201,E059
DE118,51,45,104,slight_down,0.142,sunny,small,1,1,0.142,E059
DE119,52,15,55,slight_up,0.106,sunny,small,1,1,0.106,E060
DE120,15,52,55,slight_down,0.075,sunny,small,1,1,0.075,E060
DE121,52,53,154,flat,0.248,sunny,small,1,1,0.248,E061
DE122,53,52,154,flat,0.248,sunny,small,1,1,0.248,E061
DE123,41,16,50,steep_up,0.121,sunny,small,1,1,0.121,E062
DE124,16,41,50,steep_down,0.06,sunny,small,1,1,0.06,E062
DE125,50,41,200,steep_up,0.483,sunny,small,1,1,0.483,E063
DE126,41,50,200,steep_down,0.242,sunny,small,1,1,0.242,E063
DE127,51,50,204,slight_up,0.394,sunny,small,1,1,0.394,E064
DE128,50,51,204,slight_down,0.279,sunny,small,1,1,0.279,E064
DE129,51,54,50,slight_up,0.097,sunny,small,1,1,0.097,E065
DE130,54,51,50,slight_down,0.068,sunny,small,1,1,0.068,E065
